"Date","Price","Open","High","Low","Vol.","Change %"
"06/26/2024","61,600.9","61,809.9","62,469.4","61,179.7","59.11K","-0.34%"
"06/25/2024","61,809.4","60,292.0","62,266.0","60,262.2","77.28K","2.52%"
"06/24/2024","60,292.7","63,201.6","63,357.1","58,589.9","120.60K","-4.59%"
"06/23/2024","63,196.2","64,261.0","64,518.9","63,195.3","19.94K","-1.66%"
"06/22/2024","64,261.0","64,131.9","64,523.9","63,944.0","17.55K","0.21%"
"06/21/2024","64,128.5","64,854.3","65,054.9","63,427.9","60.86K","-1.12%"
"06/20/2024","64,854.3","64,982.1","66,474.2","64,566.7","56.24K","-0.19%"
"06/19/2024","64,980.9","65,159.8","65,706.4","64,705.6","42.96K","-0.27%"
"06/18/2024","65,159.9","66,495.7","66,571.2","64,098.4","93.72K","-2.01%"
"06/17/2024","66,498.8","66,672.9","67,253.8","65,115.4","66.09K","-0.26%"
"06/16/2024","66,674.7","66,223.0","66,951.4","66,038.1","20.74K","0.68%"
"06/15/2024","66,223.0","66,034.1","66,446.4","65,895.1","24.05K","0.29%"
"06/14/2024","66,034.8","66,775.2","67,347.7","65,076.5","65.18K","-1.11%"
"06/13/2024","66,773.1","68,260.6","68,384.6","66,324.3","66.36K","-2.18%"
"06/12/2024","68,260.1","67,320.9","69,990.8","66,911.5","85.55K","1.40%"
"06/11/2024","67,319.8","69,537.9","69,573.3","66,197.8","96.70K","-3.19%"
"06/10/2024","69,538.2","69,650.2","70,152.5","69,259.9","39.12K","-0.16%"
"06/09/2024","69,650.6","69,310.5","69,847.8","69,136.7","20.99K","0.49%"
"06/08/2024","69,310.1","69,347.0","69,572.1","69,222.4","23.03K","-0.05%"
"06/07/2024","69,347.9","70,793.4","71,956.5","68,620.7","82.62K","-2.04%"
"06/06/2024","70,791.5","71,083.6","71,616.1","70,178.7","49.79K","-0.41%"
"06/05/2024","71,083.7","70,550.9","71,744.4","70,397.1","67.06K","0.76%"
"06/04/2024","70,549.2","68,808.0","71,034.2","68,564.3","75.69K","2.53%"
"06/03/2024","68,807.8","67,763.3","70,131.0","67,616.8","69.42K","1.53%"
"06/02/2024","67,773.5","67,760.8","68,447.5","67,330.6","30.63K","0.02%"
"06/01/2024","67,760.8","67,533.9","67,861.0","67,449.6","19.01K","0.34%"
"05/31/2024","67,530.1","68,352.3","69,018.2","66,676.8","61.51K","-1.21%"
"05/30/2024","68,354.7","67,631.3","69,504.7","67,138.4","66.84K","1.06%"
"05/29/2024","67,635.8","68,366.2","68,897.6","67,143.2","52.13K","-1.07%"
"05/28/2024","68,366.0","69,428.3","69,560.7","67,299.9","71.39K","-1.53%"
"05/27/2024","69,428.7","68,514.6","70,638.3","68,275.2","49.07K","1.33%"
"05/26/2024","68,514.8","69,287.2","69,494.0","68,294.5","24.58K","-1.11%"